V1	V2
IGHV1-46	IGKV1-39
IGHV1-46	IGKV1-33
IGHV1-46	IGKV1-17
IGHV1-46	IGKV1-16
IGHV1-46	IGKV1-12
IGHV1-2	FCAMR
IGHV1-2	IGHD
IGHV1-2	IGKV5-2
IGHV1-2	IGKV4-1
IGHV1-2	IGKV3D-20
IGHV1-2	IGKV3-20
IGHV1-2	IGKV3-15
IGHV1-2	IGKV3-11
IGHV1-2	IGKV2D-30
IGHV1-2	IGKV2D-28
IGHV1-2	IGKV2-30
IGHV1-2	IGKV2-29
IGHV1-2	IGKV2-28
IGHV1-2	IGKV1D-39
IGHV1-2	IGKV1D-33
IGHV1-2	IGKV1D-16
IGHV1-2	IGKV1D-12
IGHV1-2	IGKV1-5
IGHV1-2	IGKV1-39
IGHV1-2	IGKV1-33
IGHV1-2	IGKV1-17
IGHV1-2	IGKV1-16
IGHV1-2	IGKV1-12
IGHV1-2	IGHV4-59
IGHV1-2	IGHV4-39
IGHV1-2	IGHV4-34
IGHV1-2	IGHV3-9
IGHV1-2	IGHV3-7
IGHV1-2	IGHV3-53
IGHV1-2	IGHV3-48
IGHV1-2	IGHV3-33
IGHV1-2	IGHV3-30
IGHV1-2	IGHV3-23
IGHV1-2	IGHV3-13
IGHV1-2	IGHV3-11
IGHV1-2	IGHV2-70
IGHV1-2	IGHV2-5
IGHV1-2	IGHV1-69
IGHV1-2	IGHV1-46
IGKV2D-40	FCAMR
IGKV2D-40	IGHD
IGKV2D-40	IGHV4-59
IGKV2D-40	IGHV4-39
IGKV2D-40	IGHV4-34
IGKV2D-40	IGHV3-9
IGKV2D-40	IGHV3-7
IGKV2D-40	IGHV3-53
IGKV2D-40	IGHV3-48
IGKV2D-40	IGHV3-33
IGKV2D-40	IGHV3-30
IGKV2D-40	IGHV3-23
IGKV2D-40	IGHV3-13
IGKV2D-40	IGHV3-11
IGKV2D-40	IGHV2-70
IGKV2D-40	IGHV2-5
IGKV2D-40	IGHV1-69
IGKV2D-40	IGHV1-46
IGKV2D-40	IGHV1-2
BLNK	IGHD
BLNK	IGKV5-2
BLNK	IGKV4-1
BLNK	IGKV3D-20
BLNK	IGKV3-20
BLNK	IGKV3-15
BLNK	IGKV3-11
BLNK	IGKV2D-30
BLNK	IGKV2D-28
BLNK	IGKV2-30
BLNK	IGKV2-29
BLNK	IGKV2-28
BLNK	IGKV1D-39
BLNK	IGKV1D-33
BLNK	IGKV1D-16
BLNK	IGKV1D-12
BLNK	IGKV1-5
BLNK	IGKV1-39
BLNK	IGKV1-33
BLNK	IGKV1-17
BLNK	IGKV1-16
BLNK	IGKV1-12
BLNK	IGHV4-59
BLNK	IGHV4-39
BLNK	IGHV4-34
BLNK	IGHV3-9
BLNK	IGHV3-7
BLNK	IGHV3-53
BLNK	IGHV3-48
BLNK	IGHV3-33
BLNK	IGHV3-30
BLNK	IGHV3-23
BLNK	IGHV3-13
BLNK	IGHV3-11
BLNK	IGHV2-70
BLNK	IGHV2-5
BLNK	IGHV1-69
BLNK	IGHV1-46
BLNK	IGHV1-2
BLNK	IGKV2D-40
IGKC	FCAMR
IGKC	IGHD
IGKC	IGKV5-2
IGKC	IGKV4-1
IGKC	IGKV3D-20
IGKC	IGKV3-20
IGKC	IGKV3-15
IGKC	IGKV3-11
IGKC	IGKV2D-30
IGKC	IGKV2D-28
IGKC	IGKV2-30
IGKC	IGKV2-29
IGKC	IGKV2-28
IGKC	IGKV1D-39
IGKC	IGKV1D-33
IGKC	IGKV1D-16
IGKC	IGKV1D-12
IGKC	IGKV1-5
IGKC	IGKV1-39
IGKC	IGKV1-33
IGKC	IGKV1-17
IGKC	IGKV1-16
IGKC	IGKV1-12
IGKC	IGHV4-59
IGKC	IGHV4-39
IGKC	IGHV4-34
IGKC	IGHV3-9
IGKC	IGHV3-7
IGKC	IGHV3-53
IGKC	IGHV3-48
IGKC	IGHV3-33
IGKC	IGHV3-30
IGKC	IGHV3-23
IGKC	IGHV3-13
IGKC	IGHV3-11
IGKC	IGHV2-70
IGKC	IGHV2-5
IGKC	IGHV1-69
IGKC	IGHV1-46
IGKC	IGHV1-2
IGKC	IGKV2D-40
IGKC	BLNK
IGHM	IGKV5-2
IGHM	IGKV4-1
IGHM	IGKV3D-20
IGHM	IGKV3-20
IGHM	IGKV3-15
IGHM	IGKV3-11
IGHM	IGKV2D-30
IGHM	IGKV2D-28
IGHM	IGKV2-30
