V1	V2
FGF19	EPOR
FGF19	FRS2
FGF19	CUX1
FGF19	FCGR3A
FGF19	CD28
FGF19	BLNK
FGF19	ERLIN2
FGF18	FLT3LG
FGF18	EPOR
FGF18	FRS2
FGF18	CUX1
FGF18	FCGR3A
FGF18	CD28
FGF18	BLNK
FGF18	ERLIN2
FGF16	FLT3LG
FGF16	EPOR
FGF16	FRS2
FGF16	CUX1
FGF16	FCGR3A
FGF16	CD28
FGF16	BLNK
FGF16	ERLIN2
CD80	FLT3LG
CD80	EPOR
CD80	FRS2
CD80	CUX1
CD80	FCGR3A
CD80	CD28
CD80	BLNK
CD80	ERLIN2
CD80	FGF19
CD80	FGF18
CD80	FGF16
AKT3	FLT3LG
AKT3	EPOR
AKT3	CUX1
AKT3	FCGR3A
AKT3	CD28
AKT3	ERLIN2
AKT3	FGF19
AKT3	FGF18
AKT3	FGF16
AKT3	CD80
AXL	CUX1
AXL	FCGR3A
AXL	CD28
AXL	BLNK
AXL	ERLIN2
AXL	FGF19
AXL	FGF18
AXL	FGF16
AXL	CD80
AXL	AKT3
EPO	CUX1
EPO	FCGR3A
EPO	CD28
EPO	BLNK
EPO	ERLIN2
EPO	FGF19
EPO	FGF18
EPO	FGF16
EPO	CD80
EPO	AKT3
FGF8	FLT3LG
FGF8	EPOR
FGF8	FRS2
FGF8	FCGR3A
FGF8	CD28
FGF8	BLNK
FGF8	ERLIN2
FGF8	FGF19
FGF8	FGF18
FGF8	FGF16
FGF8	CD80
FGF8	AKT3
FGF8	AXL
FGF8	EPO
HIST2H2AB	BRD8
HIST1H2AM	BRD8
HIST1H2AL	BRD8
HIST1H2AK	BRD8
HIST1H2AI	BRD8
HIST1H2AG	BRD8
CHD3	HIST2H2AB
CHD3	HIST1H2AM
CHD3	HIST1H2AL
CHD3	HIST1H2AK
CHD3	HIST1H2AI
CHD3	HIST1H2AG
COPS4	ASB13
COPS4	ASB2
COPS3	ASB13
COPS3	ASB2
COPS3	COPS4
COPS2	ASB13
COPS2	ASB2
COPS2	COPS4
COPS2	COPS3
COPS5	ASB13
COPS5	ASB2
COPS5	COPS4
COPS5	COPS3
COPS5	COPS2
CAND1	ASB13
CAND1	ASB2
CDC34	ASB13
CDC34	ASB2
CENPT	CENPU
CENPS	CENPU
CENPS	CENPT
CENPO	CENPU
CENPO	CENPT
CENPO	CENPS
CENPN	CENPU
CENPN	CENPT
CENPN	CENPS
CENPN	CENPO
CENPM	CENPU
CENPM	CENPT
CENPM	CENPS
CENPM	CENPO
CENPM	CENPN
CENPL	CENPU
CENPL	CENPT
CENPL	CENPS
CENPL	CENPO
CENPL	CENPN
CENPL	CENPM
CENPK	CENPU
CENPK	CENPT
CENPK	CENPS
CENPK	CENPO
CENPK	CENPN
CENPK	CENPM
CENPK	CENPL
CENPI	CENPU
CENPI	CENPT
CENPI	CENPS
CENPI	CENPO
CENPI	CENPN
CENPI	CENPM
CENPI	CENPL
CENPI	CENPK
CENPC	CENPU
CENPC	CENPT
CENPC	CENPS
CENPC	CENPO
CENPC	CENPN
CENPC	CENPM
CENPC	CENPL
CENPC	CENPK
CENPC	CENPI
CENPA	CENPU
CENPA	CENPT
CENPA	CENPS
CENPA	CENPO
CENPA	CENPN
CENPA	CENPM
CENPA	CENPL
CENPA	CENPK
CENPA	CENPI
CENPA	CENPC
CCNB1	CENPU
CCNB1	CENPT
CCNB1	CENPS
CCNB1	CENPO
CCNB1	CENPN
CCNB1	CENPM
CCNB1	CENPL
CCNB1	CENPK
